id,name,folder,creator,type,database,source_databases,uses_uk,uses_de,uses_es,created_at,updated_at,last_run,last_any_run,last_viewed_at,view_count,archived,url,has_template_tags,has_alias_self_ref,table_count,tables,snowflake_keywords,snowflake_keyword_total,snowflake_keyword_detail,last_run_errored,last_run_zero_rows,dashboard_count,dashboards,total_runs,total_runs_6m,dashboard_runs_6m,direct_runs_6m,unique_users_total,unique_users_6m,total_views_6m,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
25114,Strategic Pitch DE Total Enquiries,Carwow / Germany / OPS / Till,Till Willweber,native,Snowflake DE,de,False,True,False,2026-04-13T06:52:31.996148Z,2026-04-13T06:52:32.098069Z,2026-04-13T06:52:31.996148Z,,,0,False,https://carwow.metabaseapp.com/question/25114,False,False,2,"enhanced.enquiries, enhanced.enquiries",0,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
25115,"Strategic Pitch DE: Visits, Configs, Signups",Carwow / Germany / OPS / Till,Till Willweber,native,Snowflake Data,snowflake data,False,False,False,2026-04-13T06:53:13.561379Z,2026-04-13T06:53:13.60923Z,2026-04-13T06:53:13.561379Z,,,0,False,https://carwow.metabaseapp.com/question/25115,False,False,2,"gyc_performance_metrics.gyc_daily_performance_metrics, gyc_performance_metrics.gyc_daily_performance_metrics",0,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
25116,"Strategic Pitch DE: Visits, Configs, Signups Total",Carwow / Germany / OPS / Till,Till Willweber,native,Snowflake Data,snowflake data,False,False,False,2026-04-13T06:53:48.24173Z,2026-04-13T06:53:48.282403Z,2026-04-13T06:53:48.24173Z,,,0,False,https://carwow.metabaseapp.com/question/25116,False,False,2,"gyc_performance_metrics.gyc_daily_performance_metrics, gyc_performance_metrics.gyc_daily_performance_metrics",0,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4137,Stratstone Sales - Last 7 Days,Carwow / UK,Matt Cockerill,native,Snowflake UK,carwow,False,False,False,2023-09-13T14:22:15.270847Z,2026-03-13T01:47:29.090162Z,2024-08-29T21:08:01.317679Z,,,130,False,https://carwow.metabaseapp.com/question/4137,False,False,1,carwow.syc_listing_milestones.listing_milestones,0,0,,,,0,,716,171,0,171,1,1,0,31,28,31,29,28,24
8088,Subscription Partners Churn Risk,Carwow,Usama Hafeez,native,Snowflake UK,carwow,False,False,False,2025-02-10T16:53:43.18328Z,2026-03-12T21:43:20.126642Z,2025-04-08T09:42:28.860877Z,,2025-10-07T16:24:28.50905Z,17,False,https://carwow.metabaseapp.com/question/8088,False,False,11,"carwow.gyc_product.cost_per_listing_revenue, carwow.gyc_used_car.used_car_north_star_metrics_daily_dealership_group, carwow.gyc_product.cost_per_listing_revenue, carwow.gyc_used_car.used_car_north_star_metrics_daily_dealership_group, carwow.gyc_used_car.used_car_north_star_metrics_daily_dealership_group, carwow.gyc_used_car.used_car_north_star_metrics_daily_dealership_group, carwow.gyc_product.customer_loaded_deal_list, carwow.gyc_used_car.used_car_north_star_metrics_daily_dealership_group, carwow.gyc_pricing.daily_live_deals_history, carwow.gyc_product.dealerships, carwow.gyc_product.cost_per_listing_revenue",3,15,"DATEADD:11, DATEDIFF:3, TO_CHAR:1",,,0,,525,175,0,175,5,1,0,31,28,31,30,31,24
4508,Subscriptions on this dashboard,Usage analytics,Metabase Internal,gui,,,False,False,False,2023-08-18T19:02:09.768319Z,2026-05-21T21:37:18.403929Z,2026-06-01T14:00:07.397588Z,,2026-06-01T14:00:06.680824Z,41,False,https://carwow.metabaseapp.com/question/4508,False,False,1,question:4507,0,0,,,,1,Dashboard overview,39,28,28,0,8,5,28,0,24,2,1,0,1
2184,succesfull call rate ES_last_7_months,Carwow / Spain,Lautaro Peruzzo,native,Snowflake ES,es,False,False,True,2023-06-01T15:26:09.09881Z,2026-03-12T21:20:44.484562Z,2024-08-29T21:08:01.317679Z,,,227,False,https://carwow.metabaseapp.com/question/2184,False,False,3,"es.enhanced.calls, es.enhanced.offers, es.dealers_site.dealerships",1,2,DATEADD:2,,,0,,730,180,0,180,1,1,0,31,28,32,31,34,24
26830,SupplyKPIs,Salome Hörmann's Personal Collection,Salome Hörmann,native,Snowflake DE,de,False,True,False,2026-05-12T14:42:26.367978Z,2026-05-12T14:56:01.817303Z,2026-05-12T14:42:26.367978Z,,,0,False,https://carwow.metabaseapp.com/question/26830,False,False,6,"de.enhanced.offers, de.quotes_site.cars, de.quotes_site.car_configurations, de.dealers_site.dealerships, de.commercial.offer_count_buckets, de.business_performance_metrics.commercial_bpm",0,0,,,,0,,39,39,0,39,1,1,0,0,0,0,0,17,22
29074,Supply Summary - Demand Mapping,Carwow / Germany / MARKETPLACE / Salome,Salome Hörmann,native,Snowflake DE,de,False,True,False,2026-06-17T10:29:14.81229Z,2026-06-17T14:06:15.707023Z,2026-06-17T10:29:30.755728Z,,2026-06-17T10:29:30.729334Z,1,False,https://carwow.metabaseapp.com/question/29074,False,False,2,"de.enhanced.events, de.enhanced.events",1,2,DATEADD:2,,,0,,9,9,0,9,2,2,1,0,0,0,0,0,9
3401,SYC Daily Net Revenue,Carwow / UK,Matt Cockerill,native,Snowflake UK,carwow,False,False,False,2023-06-08T14:19:05.816133Z,2026-03-12T22:56:53.036249Z,2025-12-16T17:45:44.893624Z,,2025-12-16T17:45:44.886035Z,230,False,https://carwow.metabaseapp.com/question/3401,False,False,1,carwow.syc_listing_milestones.listing_milestones,1,2,DATEADD:2,,,0,,845,188,0,188,4,1,0,37,29,34,32,32,24
