dashboard_id,dashboard_name,dashboard_folder,question_id,question_name
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13932,Share of dealers offering leasing - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13933,Sites w/ E2S <10% Rolling 28 days - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13941,Sales & E2S  - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13936,AVCOD - Duplicate
2410,Commercial OKRs Q3,Our analytics (root),12123,SMC DE - % of listings with +1 / +3 offers
1057,Commercial Workshop,Our analytics (root),6660,Salestrail Calls - today
3532,Commissions Jan 26,Carwow / Operations / Commission Calc. + Agent KPIs / Q1 26 / OLD,21386,"Uploads 2, Jan26"
3532,Commissions Jan 26,Carwow / Operations / Commission Calc. + Agent KPIs / Q1 26 / OLD,21748,2
467,Content with cobwebs,Usage analytics,4549,Dashboards without recent views
467,Content with cobwebs,Usage analytics,4519,Questions without recent views
467,Content with cobwebs,Usage analytics,4525,Questions that don't belong to a dashboard
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14819,E. £2.5-7.5k Low
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14820,B. £2.5-5k High
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14821,C. £5-7.5k High
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14819,E. £2.5-7.5k Low
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14851,D. £7.5-12.5k High
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14852,F. £7.5-10k Low
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14853,G. £10-12.5k Low
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14854,H. £12.5-15k
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14855,I. £15-20k
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14856,J. £20-30k
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14857,K. £30-50k
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14858,L. £50k+
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14918,G. £10-12.5k Low - CL2U
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14919,A. £0-2.5k - CL2U - Modified
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14920,B. £2.5-5k High - CL2U
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14921,C. £5-7.5k High - CL2U
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14922,D. £7.5-12.5k High - CL2U
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14923,F. £7.5-10k Low - CL2U
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14924,E. £2.5-7.5k Low - CL2U
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14925,H. £12.5-15k - CL2U
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14926,I. £15-20k - CL2U
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14927,J. £20-30k - CL2U
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14928,K. £30-50k - CL2U
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,14929,L. £50k+ - CL2U
2872,Conversion ,Carwow / UK / SMC Trading / Laura B,19702,No Val
2740,Conversion by Day,Our analytics (root),14257,Conversion by Day
2707,Conversion by Price Band,Carwow / UK / SMC Trading / Laura B,14125,CL2U by Price Band
2707,Conversion by Price Band,Carwow / UK / SMC Trading / Laura B,14126,S2CL by Price Band
2707,Conversion by Price Band,Carwow / UK / SMC Trading / Laura B,14127,U2S by Price Band
2707,Conversion by Price Band,Carwow / UK / SMC Trading / Laura B,14128,Sale 2 Collection by Price Band
2707,Conversion by Price Band,Carwow / UK / SMC Trading / Laura B,14224,VAL/RES/BID vs CAP
2707,Conversion by Price Band,Carwow / UK / SMC Trading / Laura B,14225,Val vs Max bid
2707,Conversion by Price Band,Carwow / UK / SMC Trading / Laura B,14226,Val vs Max bid £
469,Dashboard overview,Usage analytics,4551,Dashboard metadata
469,Dashboard overview,Usage analytics,4527,Dashboard views per month
469,Dashboard overview,Usage analytics,4559,Most active people on this dashboard
469,Dashboard overview,Usage analytics,4526,Recent activity on dashboard
469,Dashboard overview,Usage analytics,4508,Subscriptions on this dashboard
469,Dashboard overview,Usage analytics,4558,Questions in this dashboard
925,Dashboard subscriptions and alerts,Usage analytics,6463,Active dashboard subscriptions
925,Dashboard subscriptions and alerts,Usage analytics,6462,Alerts
2938,Days between events,Carwow / UK / SMC Trading / Laura B,11419,Days 2 event
2938,Days between events,Carwow / UK / SMC Trading / Laura B,16996,Signup to Gross Sale
2938,Days between events,Carwow / UK / SMC Trading / Laura B,16997,Sign up to Net Sale
3796,Embedding Usage,Usage analytics,27233,Authenticated views
3796,Embedding Usage,Usage analytics,27230,Unique users
3796,Embedding Usage,Usage analytics,27240,Most viewed authenticated embeds
3796,Embedding Usage,Usage analytics,27229,Guest views
3796,Embedding Usage,Usage analytics,27239,Most viewed guest embeds
3796,Embedding Usage,Usage analytics,27237,Views by embedding client
3796,Embedding Usage,Usage analytics,27236,Views by auth method
3796,Embedding Usage,Usage analytics,27228,Tenants with most views
3796,Embedding Usage,Usage analytics,27231,Active tenants
3796,Embedding Usage,Usage analytics,27238,Views by user agent
3796,Embedding Usage,Usage analytics,27235,Public link views
3796,Embedding Usage,Usage analytics,27232,Most viewed public links
3796,Embedding Usage,Usage analytics,27234,Views by embedding host
529,EV Duration Share,Sven Huybrechts's Personal Collection,4658,AH Leasing Share 24M EV
3136,EV Grant DE,Our analytics (root),18383,DE EV Grant : EV Config Share below 53.3k RRP
3136,EV Grant DE,Our analytics (root),18384,DE EV Grant : EV Config Share All
3367,Finance info,Carwow / UK / SMC Trading / Laura B,20725,Upload and Sale Dates
3367,Finance info,Carwow / UK / SMC Trading / Laura B,20726,Event details
3169,GYC DE : AVCOD / Supply,Our analytics (root),18977,AVCOD Q3/Q4
3169,GYC DE : AVCOD / Supply,Our analytics (root),18978,GYC DE : AVCOD Q3 vs Q4 per model
3169,GYC DE : AVCOD / Supply,Our analytics (root),26731,AVCOD/Configs Q4 2025 - Q2 2026
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),13764,GYC DE : Pausierte Händler (letzte 2 Wochen)
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),13861,GYC DE : Model  Level Offer Distance Increase (Top 20% Configured Models Only)
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),13862,GYC DE: Make level ACOD WoW Change
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),13993,GYC DE : New Active Accounts
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),13994,GYC DE : Model Level Offer Distance Improved (Top 20% Configured Models Only)
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),14191,Model supply low lights prior week vs 2 weeks ago
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),14192,Make supply previous week WoW
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),14690,GY DE : Dealer Pause Value
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),14691,WoW Churn - Estimated Lost Monthly CE Revenue (based on past 30 day CEs x 50)
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),14692,WoW Akquisition - Estimated Won Monthly CE Revenue (based on first 30 day CEs x 50)
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),14694,Net Dealer Movement Revenue Impact
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),14720,GYC DE : LCV CE Share over time
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),18118,GYC DE : Net Dealer Movement Revenue Impact (approximation)
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),18284,SMC DE : Händler Bid Details inkl Uhrzeit
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),18580,GYC DE :  Dealer Contacts - all active accounts ; incl CE info YTD
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),18812,GYC DE : YTD Leasing CEs Group Level
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),18844,GYC DE : Dealer & AVCOD Q4 Tracking
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),19834,GYC DE : Dealership State Summary 2025
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),19867,GYC DE  : Weekly Funnel Stats
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),19900,GYC DE  : Monthly Funnel Stats
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),19901,GYC DE  : Quaterly Funnel Stats
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),19902,GYC DE Stock level per dealer
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),19904,weekly gyc stats
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),20033,GYC DE : LMS Enabled
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),23531,Net Dealer Movement Revenue Impact - Q4 25
2641,GYC DE : Weekly Supply Changes ,Our analytics (root),23365,SMC DE BEV
166,javi_test_dashboard,Javier Chamorro's Personal Collection,4016,javi_test_query
826,LDM Dash,Sven Huybrechts's Personal Collection,6119,V3 LDM Inflow - Weekly
826,LDM Dash,Sven Huybrechts's Personal Collection,6140,V3 LDM Inflow - Daily
826,LDM Dash,Sven Huybrechts's Personal Collection,6142,Deal_Count_Yesterday_Jan
826,LDM Dash,Sven Huybrechts's Personal Collection,6143,Deal_Count_Yesterday_Moritz
3664,Leasing,Burak Yilmaz's Personal Collection,26203,Coverage vs. Last 90 Days
3664,Leasing,Burak Yilmaz's Personal Collection,26270,Engine Supply per Make-Fuel Type
3664,Leasing,Burak Yilmaz's Personal Collection,26237,Active Deals WoW
3664,Leasing,Burak Yilmaz's Personal Collection,26271,Inactive/Stale Dealerships
3664,Leasing,Burak Yilmaz's Personal Collection,26236,Derivatives covered by Engine-Only
3664,Leasing,Burak Yilmaz's Personal Collection,26269,Active Deals vs. Peak 90 Days (Make-Level)
3664,Leasing,Burak Yilmaz's Personal Collection,26368,Potential Recovery Engine Deals (TOTAL)
3664,Leasing,Burak Yilmaz's Personal Collection,26369,Dealers with Loss in Engine Supply
3664,Leasing,Burak Yilmaz's Personal Collection,26370,Top Drop-Offs (Absolut)
3664,Leasing,Burak Yilmaz's Personal Collection,26371,Top 20 - Complete Engine Churn
2014,Listing Details,Laura Brenninkmeijer's Personal Collection,10761,Listing Details
3763,LT5Offers Analysis,Salome Hörmann's Personal Collection,26764,LT5Offers Analysis
465,Metabase metrics,Usage analytics,4547,Active users last week
465,Metabase metrics,Usage analytics,4530,Question views last week
465,Metabase metrics,Usage analytics,4534,Question views per week
465,Metabase metrics,Usage analytics,4548,Weekly active users
465,Metabase metrics,Usage analytics,4532,Questions created last week
465,Metabase metrics,Usage analytics,4545,Dashboards created last week
465,Metabase metrics,Usage analytics,4521,Alerts and subscriptions created last week
465,Metabase metrics,Usage analytics,4531,Most viewed dashboards
465,Metabase metrics,Usage analytics,4533,Most viewed cards
465,Metabase metrics,Usage analytics,4546,Most active viewers
465,Metabase metrics,Usage analytics,4510,Most active creators
133,Miguel Dashboard,Miguel Roca's Personal Collection,174,Dates test
133,Miguel Dashboard,Miguel Roca's Personal Collection,13,Miguel Test
133,Miguel Dashboard,Miguel Roca's Personal Collection,173,Miguel Saved
2807,📊 | Monthly Affiliate Overview ,Alexa von Bogdandy's Personal Collection,14686,Monatliche Visits pro Partner
2807,📊 | Monthly Affiliate Overview ,Alexa von Bogdandy's Personal Collection,14687,Monatliche Chargeable Enquiries
2807,📊 | Monthly Affiliate Overview ,Alexa von Bogdandy's Personal Collection,14688,Monatliche Listings Completed
2807,📊 | Monthly Affiliate Overview ,Alexa von Bogdandy's Personal Collection,14689,Monatliche Listings Sold
2807,📊 | Monthly Affiliate Overview ,Alexa von Bogdandy's Personal Collection,16171,Type of CEs per partner 
2807,📊 | Monthly Affiliate Overview ,Alexa von Bogdandy's Personal Collection,7362,Models über Affiliate Channel (past 7 Days) 
2773,Monthly Roundup,Carwow / UK / SMC Trading / Laura B,14587,Signups
2773,Monthly Roundup,Carwow / UK / SMC Trading / Laura B,14588,Completed Listings
2773,Monthly Roundup,Carwow / UK / SMC Trading / Laura B,14590,Gross Sales
2773,Monthly Roundup,Carwow / UK / SMC Trading / Laura B,14591,Collections
2773,Monthly Roundup,Carwow / UK / SMC Trading / Laura B,14592,S2CL
2773,Monthly Roundup,Carwow / UK / SMC Trading / Laura B,14593,CL2U
2773,Monthly Roundup,Carwow / UK / SMC Trading / Laura B,14594,U2S
2773,Monthly Roundup,Carwow / UK / SMC Trading / Laura B,14595,Net Revenue
468,Most viewed content,Usage analytics,4543,Most viewed dashboards
468,Most viewed content,Usage analytics,4541,Most viewed questions
468,Most viewed content,Usage analytics,4535,Most viewed tables
468,Most viewed content,Usage analytics,4538,Most viewed models
3466,Net Sales by SMC Dealer Group,Our analytics (root),21253,Net Sales by SMC Dealer Group
3268,New Daily Conversion,Carwow / UK / SMC Trading / Laura B,13300,Daily Performance
3268,New Daily Conversion,Carwow / UK / SMC Trading / Laura B,21121,U2AS by Price Band
3268,New Daily Conversion,Carwow / UK / SMC Trading / Laura B,21518,Max v Res by Price Band
3268,New Daily Conversion,Carwow / UK / SMC Trading / Laura B,21847,S2CL in 24h by Price Band
463,Performance overview,Usage analytics,4503,Slowest dashboards
463,Performance overview,Usage analytics,4500,Dashboards consuming most resources
463,Performance overview,Usage analytics,4498,Dashboards with more questions in the same tab
463,Performance overview,Usage analytics,4494,Slowest questions
463,Performance overview,Usage analytics,4502,Users consuming most resources
463,Performance overview,Usage analytics,4504,Questions consuming most resources
463,Performance overview,Usage analytics,4499,Total time spent on sync per day
463,Performance overview,Usage analytics,4496,Total time looking for field values per day
